Scenario,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Average,Minimum,Maximum,Half Width,Standard Deviation
Scenario1,Main_Model,Main_Model,[Object],Costs,TotalCost,Total (USD),4016358.7592147,4016358.7592147,4016358.7592147,NaN,NaN
Scenario1,Main_Model,Main_Model,LogTransport,Costs,TotalCost,Total (USD),1389316.51999986,1389316.51999986,1389316.51999986,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,[Object],Costs,TotalCost,Total (USD),686814.839976912,686814.839976912,686814.839976912,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Object],Costs,TotalCost,Total (USD),37220.1718598993,37220.1718598993,37220.1718598993,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,ScheduledUtilization,Percent,89.9146781185443,89.9146781185443,89.9146781185443,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,UnitsAllocated,Total,18772,18772,18772,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,UnitsScheduled,Average,0.855171596029683,0.855171596029683,0.855171596029683,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,UnitsScheduled,Maximum,1,1,1,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,UnitsScheduled,Minimum,0,0,0,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,UnitsUtilized,Average,0.768924787931308,0.768924787931308,0.768924787931308,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,UnitsUtilized,Maximum,1,1,1,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,UnitsUtilized,Minimum,0,0,0,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeOffShift,Average (Hours),30.289826201792,30.289826201792,30.289826201792,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeOffShift,Occurrences,7,7,7,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeOffShift,Percent,14.4828403970317,14.4828403970317,14.4828403970317,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeOffShift,Total (Hours),212.028783412544,212.028783412544,212.028783412544,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeProcessing,Average (Hours),140.713236191429,140.713236191429,140.713236191429,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeProcessing,Occurrences,8,8,8,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeProcessing,Percent,76.8924787931308,76.8924787931308,76.8924787931308,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeProcessing,Total (Hours),1125.70588953143,1125.70588953143,1125.70588953143,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeStarved,Average (Hours),15.7831658820027,15.7831658820027,15.7831658820027,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeStarved,Occurrences,8,8,8,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeStarved,Percent,8.62468080983754,8.62468080983754,8.62468080983754,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeStarved,Total (Hours),126.265327056022,126.265327056022,126.265327056022,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,Content,NumberInStation,Average,4454.21728815155,4454.21728815155,4454.21728815155,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,Content,NumberInStation,Maximum,11999,11999,11999,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,Content,NumberInStation,Minimum,0,0,0,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,Costs,CostPerItem,Average (USD),1.98258541710377,1.98258541710377,1.98258541710377,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,Costs,CostPerItem,Maximum (USD),4.10579763190666,4.10579763190666,4.10579763190666,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,Costs,CostPerItem,Minimum (USD),0,0,0,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,Costs,TotalCost,Total (USD),37220.1718598993,37220.1718598993,37220.1718598993,NaN,NaN
