Scenario,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Average,Minimum,Maximum,Half Width,Standard Deviation
Scenario1,Main_Model,Main_Model,[Object],Costs,TotalCost,Total (USD),20215455.2127032,20215455.2127032,20215455.2127032,NaN,NaN
Scenario1,Main_Model,Main_Model,LogTransport,Costs,TotalCost,Total (USD),6433205.17000677,6433205.17000677,6433205.17000677,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,[Object],Costs,TotalCost,Total (USD),4822001.23155276,4822001.23155276,4822001.23155276,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Object],Costs,TotalCost,Total (USD),127317.526133753,127317.526133753,127317.526133753,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,ScheduledUtilization,Percent,99.9999701462375,99.9999701462375,99.9999701462375,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,UnitsAllocated,Total,35979,35979,35979,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,UnitsScheduled,Average,1,1,1,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,UnitsScheduled,Maximum,1,1,1,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,UnitsScheduled,Minimum,1,1,1,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,UnitsUtilized,Average,0.999999701462375,0.999999701462375,0.999999701462375,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,UnitsUtilized,Maximum,1,1,1,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,UnitsUtilized,Minimum,0,0,0,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeProcessing,Average (Hours),2159.99935515873,2159.99935515873,2159.99935515873,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeProcessing,Occurrences,1,1,1,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeProcessing,Percent,99.9999701462375,99.9999701462375,99.9999701462375,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeProcessing,Total (Hours),2159.99935515873,2159.99935515873,2159.99935515873,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeStarved,Average (Hours),0.00064484126984127,0.00064484126984127,0.00064484126984127,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeStarved,Occurrences,1,1,1,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeStarved,Percent,2.98537624926514E-05,2.98537624926514E-05,2.98537624926514E-05,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeStarved,Total (Hours),0.00064484126984127,0.00064484126984127,0.00064484126984127,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,Content,NumberInStation,Average,10326.8660086253,10326.8660086253,10326.8660086253,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,Content,NumberInStation,Maximum,12000,12000,12000,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,Content,NumberInStation,Minimum,0,0,0,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,Costs,CostPerItem,Average (USD),2.85262846506657,2.85262846506657,2.85262846506657,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,Costs,CostPerItem,Maximum (USD),4.1114996717211,4.1114996717211,4.1114996717211,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,Costs,CostPerItem,Minimum (USD),0,0,0,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,Costs,TotalCost,Total (USD),127317.526133753,127317.526133753,127317.526133753,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,EntryQueue,NumberWaiting,Average,1123.76247639261,1123.76247639261,1123.76247639261,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,EntryQueue,NumberWaiting,Maximum,5611,5611,5611,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,EntryQueue,NumberWaiting,Minimum,0,0,0,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,EntryQueue,TimeWaiting,Average (Hours),37.7294005911242,37.7294005911242,37.7294005911242,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,EntryQueue,TimeWaiting,Maximum (Hours),230.229836714055,230.229836714055,230.229836714055,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,EntryQueue,TimeWaiting,Minimum (Hours),0,0,0,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,HoldingTime,TimeInStation,Average (Hours),499.780507079664,499.780507079664,499.780507079664,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,HoldingTime,TimeInStation,Maximum (Hours),720.334742485536,720.334742485536,720.334742485536,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,HoldingTime,TimeInStation,Minimum (Hours),0,0,0,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,Throughput,NumberEntered,Total,47979,47979,47979,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,Throughput,NumberExited,Total,35979,35979,35979,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.OutputBuffer,Throughput,NumberEntered,Total,35978,35978,35978,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.OutputBuffer,Throughput,NumberExited,Total,35978,35978,35978,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.Processing,Content,NumberInStation,Average,0.999999701462375,0.999999701462375,0.999999701462375,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.Processing,Content,NumberInStation,Maximum,1,1,1,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.Processing,Content,NumberInStation,Minimum,0,0,0,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.Processing,HoldingTime,TimeInStation,Average (Hours),0.0600362743768876,0.0600362743768876,0.0600362743768876,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.Processing,HoldingTime,TimeInStation,Maximum (Hours),0.08327962776616,0.08327962776616,0.08327962776616,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.Processing,HoldingTime,TimeInStation,Minimum (Hours),0.0358840345894009,0.0358840345894009,0.0358840345894009,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.Processing,Throughput,NumberEntered,Total,35979,35979,35979,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.Processing,Throughput,NumberExited,Total,35978,35978,35978,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,DropOff [Object],Costs,TotalCost,Total (USD),4147739.47805653,4147739.47805653,4147739.47805653,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,DropOff [Resource],Capacity,ScheduledUtilization,Percent,22.0325160784135,22.0325160784135,22.0325160784135,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,DropOff [Resource],Capacity,UnitsAllocated,Total,15821,15821,15821,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,DropOff [Resource],Capacity,UnitsScheduled,Average,5.53333333333333,5.53333333333333,5.53333333333333,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,DropOff [Resource],Capacity,UnitsScheduled,Maximum,6,6,6,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,DropOff [Resource],Capacity,UnitsScheduled,Minimum,0,0,0,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,DropOff [Resource],Capacity,UnitsUtilized,Average,1.21913255633888,1.21913255633888,1.21913255633888,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,DropOff [Resource],Capacity,UnitsUtilized,Maximum,6,6,6,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,DropOff [Resource],Capacity,UnitsUtilized,Minimum,0,0,0,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,DropOff [Resource],ResourceState,TimeOffShift,Average (Hours),24,24,24,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,DropOff [Resource],ResourceState,TimeOffShift,Occurrences,7,7,7,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,DropOff [Resource],ResourceState,TimeOffShift,Percent,7.77777777777778,7.77777777777778,7.77777777777778,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,DropOff [Resource],ResourceState,TimeOffShift,Total (Hours),168,168,168,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,DropOff [Resource],ResourceState,TimeProcessing,Average (Hours),2.19960449425495,2.19960449425495,2.19960449425495,NaN,NaN
