Scenario,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Average,Minimum,Maximum,Half Width,Standard Deviation
Scenario1,Main_Model,Main_Model,[Object],Costs,TotalCost,Total (USD),33751031.4113211,33751031.4113211,33751031.4113211,NaN,NaN
Scenario1,Main_Model,Main_Model,LogTransport,Costs,TotalCost,Total (USD),11371152.2600229,11371152.2600229,11371152.2600229,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,[Object],Costs,TotalCost,Total (USD),7456804.92791405,7456804.92791405,7456804.92791405,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Object],Costs,TotalCost,Total (USD),258046.055939301,258046.055939301,258046.055939301,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,ScheduledUtilization,Percent,99.8379073064747,99.8379073064747,99.8379073064747,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,UnitsAllocated,Total,84630,84630,84630,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,UnitsScheduled,Average,0.990426747188284,0.990426747188284,0.990426747188284,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,UnitsScheduled,Maximum,1,1,1,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,UnitsScheduled,Minimum,0,0,0,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,UnitsUtilized,Average,0.988821337796371,0.988821337796371,0.988821337796371,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,UnitsUtilized,Maximum,1,1,1,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,UnitsUtilized,Minimum,0,0,0,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeOffShift,Average (Hours),49.1682264409758,49.1682264409758,49.1682264409758,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeOffShift,Occurrences,1,1,1,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeOffShift,Percent,0.957325281171647,0.957325281171647,0.957325281171647,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeOffShift,Total (Hours),49.1682264409758,49.1682264409758,49.1682264409758,NaN,NaN
