Scenario,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Average,Minimum,Maximum,Half Width,Standard Deviation
Scenario1,Main_Model,Main_Model,[Object],Costs,TotalCost,Total (USD),48420730.4279601,48420730.4279601,48420730.4279601,NaN,NaN
Scenario1,Main_Model,Main_Model,LogTransport,Costs,TotalCost,Total (USD),15129333.0400351,15129333.0400351,15129333.0400351,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,[Object],Costs,TotalCost,Total (USD),10829799.9748275,10829799.9748275,10829799.9748275,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Object],Costs,TotalCost,Total (USD),266129.596104091,266129.596104091,266129.596104091,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,ScheduledUtilization,Percent,99.8377555745441,99.8377555745441,99.8377555745441,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,UnitsAllocated,Total,84564,84564,84564,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,UnitsScheduled,Average,0.98986765172234,0.98986765172234,0.98986765172234,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,UnitsScheduled,Maximum,1,1,1,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,UnitsScheduled,Minimum,0,0,0,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,UnitsUtilized,Average,0.98826164663803,0.98826164663803,0.98826164663803,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,UnitsUtilized,Maximum,1,1,1,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],Capacity,UnitsUtilized,Minimum,0,0,0,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeOffShift,Average (Hours),52.03974075406,52.03974075406,52.03974075406,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeOffShift,Occurrences,1,1,1,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeOffShift,Percent,1.01323482776597,1.01323482776597,1.01323482776597,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeOffShift,Total (Hours),52.03974075406,52.03974075406,52.03974075406,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeProcessing,Average (Hours),5075.71181713292,5075.71181713292,5075.71181713292,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeProcessing,Occurrences,1,1,1,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeProcessing,Percent,98.826164663803,98.826164663803,98.826164663803,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeProcessing,Total (Hours),5075.71181713292,5075.71181713292,5075.71181713292,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeStarved,Average (Hours),8.24844211302031,8.24844211302031,8.24844211302031,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeStarved,Occurrences,1,1,1,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeStarved,Percent,0.160600508431081,0.160600508431081,0.160600508431081,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester [Resource],ResourceState,TimeStarved,Total (Hours),8.24844211302031,8.24844211302031,8.24844211302031,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,Content,NumberInStation,Average,9078.25257738141,9078.25257738141,9078.25257738141,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,Content,NumberInStation,Maximum,12000,12000,12000,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,Content,NumberInStation,Minimum,0,0,0,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,Costs,CostPerItem,Average (USD),2.85585685738798,2.85585685738798,2.85585685738798,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,Costs,CostPerItem,Maximum (USD),4.11479682097109,4.11479682097109,4.11479682097109,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,Costs,CostPerItem,Minimum (USD),0.014900565416456,0.014900565416456,0.014900565416456,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,Costs,TotalCost,Total (USD),266129.596104091,266129.596104091,266129.596104091,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,EntryQueue,NumberWaiting,Average,3104.07076980884,3104.07076980884,3104.07076980884,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,EntryQueue,NumberWaiting,Maximum,12464,12464,12464,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,EntryQueue,NumberWaiting,Minimum,0,0,0,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,EntryQueue,TimeWaiting,Average (Hours),128.889124529504,128.889124529504,128.889124529504,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,EntryQueue,TimeWaiting,Maximum (Hours),583.466599298851,583.466599298851,583.466599298851,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,EntryQueue,TimeWaiting,Minimum (Hours),0,0,0,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,HoldingTime,TimeInStation,Average (Hours),500.346121414371,500.346121414371,500.346121414371,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,HoldingTime,TimeInStation,Maximum (Hours),720.912403034134,720.912403034134,720.912403034134,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,HoldingTime,TimeInStation,Minimum (Hours),2.61057906096308,2.61057906096308,2.61057906096308,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,Throughput,NumberEntered,Total,96564,96564,96564,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.InputBuffer,Throughput,NumberExited,Total,84564,84564,84564,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.OutputBuffer,Throughput,NumberEntered,Total,84563,84563,84563,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.OutputBuffer,Throughput,NumberExited,Total,84563,84563,84563,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.Processing,Content,NumberInStation,Average,0.98826164663803,0.98826164663803,0.98826164663803,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.Processing,Content,NumberInStation,Maximum,1,1,1,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.Processing,Content,NumberInStation,Minimum,0,0,0,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.Processing,HoldingTime,TimeInStation,Average (Hours),0.0600227964197278,0.0600227964197278,0.0600227964197278,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.Processing,HoldingTime,TimeInStation,Maximum (Hours),0.0852177423515741,0.0852177423515741,0.0852177423515741,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.Processing,HoldingTime,TimeInStation,Minimum (Hours),0.0333926778173463,0.0333926778173463,0.0333926778173463,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.Processing,Throughput,NumberEntered,Total,84564,84564,84564,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,Digester.Processing,Throughput,NumberExited,Total,84563,84563,84563,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,DropOff [Object],Costs,TotalCost,Total (USD),9364115.05160924,9364115.05160924,9364115.05160924,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,DropOff [Resource],Capacity,ScheduledUtilization,Percent,21.425214754214,21.425214754214,21.425214754214,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,DropOff [Resource],Capacity,UnitsAllocated,Total,36300,36300,36300,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,DropOff [Resource],Capacity,UnitsScheduled,Average,5.49532710280374,5.49532710280374,5.49532710280374,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,DropOff [Resource],Capacity,UnitsScheduled,Maximum,6,6,6,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,DropOff [Resource],Capacity,UnitsScheduled,Minimum,0,0,0,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,DropOff [Resource],Capacity,UnitsUtilized,Average,1.17738563322223,1.17738563322223,1.17738563322223,NaN,NaN
Scenario1,Mill_Bright,Mill_Bright1,DropOff [Resource],Capacity,UnitsUtilized,Maximum,6,6,6,NaN,NaN
