Scenario,Replication,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Value
Scenario1,1,Model,Model,[Object],Costs,TotalCost,Total,0
Scenario1,2,Model,Model,[Object],Costs,TotalCost,Total,0
Scenario1,3,Model,Model,[Object],Costs,TotalCost,Total,0
Scenario1,4,Model,Model,[Object],Costs,TotalCost,Total,0
Scenario1,5,Model,Model,[Object],Costs,TotalCost,Total,0
Scenario1,1,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Average,2.87898856468516
Scenario1,2,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Average,2.29578075773019
Scenario1,3,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Average,3.47721843563301
Scenario1,4,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Average,2.89970508555044
Scenario1,5,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Average,6.74412788088439
Scenario1,1,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Maximum,11
Scenario1,2,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Maximum,12
Scenario1,3,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Maximum,15
Scenario1,4,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Maximum,13
Scenario1,5,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Maximum,28
Scenario1,1,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Minimum,0
Scenario1,2,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Minimum,0
Scenario1,3,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Minimum,0
Scenario1,4,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Minimum,0
Scenario1,5,ModelEntity,DefaultEntity,[Population],Content,NumberInSystem,Minimum,0
Scenario1,1,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Average,0
Scenario1,2,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Average,0
Scenario1,3,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Average,0
Scenario1,4,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Average,0
Scenario1,5,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Average,0
Scenario1,1,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Maximum,0
Scenario1,2,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Maximum,0
Scenario1,3,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Maximum,0
Scenario1,4,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Maximum,0
Scenario1,5,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Maximum,0
Scenario1,1,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Minimum,0
Scenario1,2,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Minimum,0
Scenario1,3,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Minimum,0
Scenario1,4,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Minimum,0
Scenario1,5,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Minimum,0
Scenario1,1,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Observations,470
Scenario1,2,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Observations,468
Scenario1,3,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Observations,459
Scenario1,4,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Observations,446
Scenario1,5,ModelEntity,DefaultEntity,[Population],Costs,CostPerItem,Observations,479
Scenario1,1,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Average,0.061255075844365
Scenario1,2,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Average,0.048933759355168
Scenario1,3,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Average,0.0750436338501356
Scenario1,4,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Average,0.0649856601916999
Scenario1,5,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Average,0.130632773816685
Scenario1,1,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Maximum,0.209281153885787
Scenario1,2,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Maximum,0.227225222663411
Scenario1,3,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Maximum,0.295991393630306
Scenario1,4,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Maximum,0.201804032613054
Scenario1,5,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Maximum,0.509645880918066
Scenario1,1,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Minimum,1.68648747251865E-05
Scenario1,2,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Minimum,0.000403600909982371
Scenario1,3,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Minimum,7.17919816768386E-05
Scenario1,4,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Minimum,0.000914994064783237
Scenario1,5,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Minimum,0.000126863872803362
Scenario1,1,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Observations,470
Scenario1,2,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Observations,468
Scenario1,3,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Observations,459
Scenario1,4,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Observations,446
Scenario1,5,ModelEntity,DefaultEntity,[Population],FlowTime,TimeInSystem,Observations,479
Scenario1,1,ModelEntity,DefaultEntity,[Population],Throughput,NumberCreated,Total,470
Scenario1,2,ModelEntity,DefaultEntity,[Population],Throughput,NumberCreated,Total,469
Scenario1,3,ModelEntity,DefaultEntity,[Population],Throughput,NumberCreated,Total,465
Scenario1,4,ModelEntity,DefaultEntity,[Population],Throughput,NumberCreated,Total,448
Scenario1,5,ModelEntity,DefaultEntity,[Population],Throughput,NumberCreated,Total,507
