playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
184,null,Donnie Avery,WR,FA,WR,FA,null,0,null,null,null,188,null,null,0,null,null,null,0,0,null,null
206,null,Andre Caldwell,WR,DET,WR,DET,null,0.3693,null,null,null,172,null,null,0.0184,null,null,null,0.7255,0,3.9921,null
216,null,Fred Davis,TE,FA,TE,FA,null,0,null,null,null,103,null,null,0,null,null,null,0,0,null,null
222,null,Harry Douglas,WR,TEN,WR,TEN,null,2.0064,null,null,null,133,null,null,0.0631,null,null,null,3.7636,0,5.2923,null
230,null,Jerome Felton,RB,BUF,RB,BUF,null,0.2164,null,null,null,122,null,null,0.0435,null,null,null,0.3461,0,null,null
234,null,Matt Forte,RB,NYJ,RB,NYJ,null,14.1887,null,null,null,15,null,null,0.1983,null,null,null,14.9658,11.3869,null,null
252,null,Chad Henne,QB,JAC,QB,JAC,null,0.1556,null,null,null,61,null,null,0.0177,null,null,null,0.2343,0,4.0017,null
262,null,Chris Johnson,RB,ARI,RB,ARI,null,2.7482,null,null,null,82,null,null,0.0967,null,null,null,4.2385,0,null,null
264,null,Josh Johnson,QB,NYG,QB,NYG,null,0,null,null,null,77,null,null,0,null,null,null,0,0,3.8813,null
284,null,Darren McFadden,RB,DAL,RB,DAL,null,0,null,null,null,132,null,null,0,null,null,null,0,0,null,null
310,null,Matt Ryan,QB,ATL,QB,ATL,null,15.6689,null,null,null,17,null,null,0.4585,null,null,null,17.594,13.86,6.1988,null
318,null,Jerome Simpson,WR,FA,WR,FA,null,0,null,null,null,188,null,null,0,null,null,null,0,0,3.4371,null
324,null,Jacob Tamme,TE,ATL,TE,ATL,null,7.928,null,null,null,19,null,null,0.5526,null,null,null,9.2077,6.17,5.1847,null
367,null,Matt Flynn,QB,NO,QB,NO,null,0.0045,null,null,null,75,null,null,0.0036,null,null,null,0.0068,0,3.8848,null
382,null,Joe Flacco,QB,BAL,QB,BAL,null,17.8411,null,null,null,7,null,null,0.1842,null,null,null,19.8672,15.57,5.4157,null
768,null,Steve Johnson,WR,SD,WR,SD,null,0,null,null,null,188,null,null,0,null,null,null,0,0,3.4371,null
925,null,Jamaal Charles,RB,KC,RB,KC,null,0,null,null,null,132,null,null,0,null,null,null,0,0,null,null
927,null,Justin Forsett,RB,BAL,RB,BAL,null,0,null,null,null,132,null,null,0,null,null,null,0,0,null,null
941,null,Ray Rice,RB,FA,RB,FA,null,0,null,null,null,132,null,null,0,null,null,null,0,0,null,null
949,null,Jonathan Stewart,RB,CAR,RB,CAR,null,3.7198,null,null,null,74,null,null,0.1839,null,null,null,6.4314,0,null,null
1030,null,Mario Manningham,WR,FA,WR,FA,null,0,null,null,null,188,null,null,0,null,null,null,0,0,null,null
1032,null,Jordy Nelson,WR,GB,WR,GB,null,18.5101,null,null,null,5,null,null,0.2983,null,null,null,20.5638,14.34,3.7158,null
1060,null,Gary Barnidge,TE,CLE,TE,CLE,null,11.4591,null,null,null,7,null,null,0.3702,null,null,null,14.7312,9.03,5.3714,null
1062,null,Martellus Bennett,TE,NE,TE,NE,null,11.8477,null,null,null,6,null,null,0.4265,null,null,null,13.3565,10.33,5.1707,null
1581,null,DeSean Jackson,WR,WAS,WR,WAS,null,13.728,null,null,null,23,null,null,0.1094,null,null,null,15.9718,9.7109,4.4956,null
1966,null,John Carlson,TE,FA,TE,FA,null,0,null,null,null,103,null,null,0,null,null,null,0,0,null,null
1990,null,Eddie Royal,WR,CHI,WR,CHI,null,6.29,null,null,null,81,null,null,0.1682,null,null,null,9.4405,0,7.3115,null
1992,null,Craig Stevens,TE,FA,TE,FA,null,0,null,null,null,103,null,null,0,null,null,null,0,0,null,null
2346,null,Pierre Garcon,WR,WAS,WR,WAS,null,9.7179,null,null,null,42,null,null,0.1424,null,null,null,11.2887,7,4.6437,null
2649,null,Danny Amendola,WR,NE,WR,NE,null,6.5547,null,null,null,75,null,null,0.0498,null,null,null,7.7358,3.1479,4.922,null
4231,null,Jed Collins,RB,FA,RB,FA,null,0,null,null,null,132,null,null,0,null,null,null,0,0,null,null
4327,null,Danny Woodhead,RB,SD,RB,SD,null,4.5609,null,null,null,60,null,null,0.0545,null,null,null,7.8856,0,null,null
4383,null,Tim Hightower,RB,NO,RB,NO,null,2.8202,null,null,null,80,null,null,0.0517,null,null,null,4.4921,0,null,null
4433,null,Marcel Reece,RB,FA,RB,FA,null,0,null,null,null,132,null,null,0,null,null,null,0,0,null,null
4487,null,Matthew Slater,WR,NE,WR,NE,null,0.0235,null,null,null,185,null,null,0.0155,null,null,null,0.0574,0,3.4846,null
71217,null,Kenny Britt,WR,LA,WR,LA,null,8.4383,null,null,null,51,null,null,0.0302,null,null,null,9.4581,7.0431,4.3929,null
71247,null,James Casey,TE,FA,TE,FA,null,0,null,null,null,103,null,null,0,null,null,null,0,0,null,null
71255,null,Chase Coffman,TE,IND,TE,IND,null,0,null,null,null,103,null,null,0,null,null,null,0,0,3.287,null
71265,null,Jared Cook,TE,GB,TE,GB,null,3.5849,null,null,null,41,null,null,0.2196,null,null,null,5.8755,0,9.167,null
71269,null,Michael Crabtree,WR,OAK,WR,OAK,null,16.3739,null,null,null,16,null,null,0.3203,null,null,null,18.8,13.88,4.1208,null
71345,null,Rashad Jennings,RB,NYG,RB,NYG,null,11.2441,null,null,null,24,null,null,0.1788,null,null,null,11.2122,9.39,null,null
71417,null,Jordan Norwood,WR,DEN,WR,DEN,null,3.0521,null,null,null,115,null,null,0.1097,null,null,null,3.6943,1.43,4.9953,null
71431,null,Brandon Pettigrew,TE,DET,TE,DET,null,0.9221,null,null,null,79,null,null,0.0518,null,null,null,1.4897,0,4.8153,null
71435,null,John Phillips,TE,DEN,TE,DEN,null,2.9544,null,null,null,48,null,null,0.0463,null,null,null,5.5365,0.39,8.318,null
79555,null,Arian Foster,RB,MIA,RB,MIA,null,4.4799,null,null,null,63,null,null,0.1154,null,null,null,7.0341,0,null,null
79557,null,Josh Freeman,QB,FA,QB,FA,null,0,null,null,null,77,null,null,0,null,null,null,0,0,3.8813,null
79563,null,Shonn Greene,RB,FA,RB,FA,null,0,null,null,null,132,null,null,0,null,null,null,0,0,null,null
79589,null,David Johnson,TE,PIT,TE,PIT,null,0.5387,null,null,null,85,null,null,0.0092,null,null,null,0.7571,0.18,4.8418,null
79607,null,LeSean McCoy,RB,BUF,RB,BUF,null,15.1531,null,null,null,10,null,null,0.3793,null,null,null,17.3694,10.78,null,null
79619,null,Knowshon Moreno,RB,FA,RB,FA,null,0,null,null,null,132,null,null,0,null,null,null,0,0,null,null
79625,null,Bear Pascoe,TE,NE,TE,NE,null,0,null,null,null,103,null,null,0,null,null,null,0,0,3.287,null
79629,null,Cedric Peerman,RB,CIN,RB,CIN,null,0,null,null,null,132,null,null,0,null,null,null,0,0,null,null
79858,null,Mark Sanchez,QB,DAL,QB,DAL,null,1.2407,null,null,null,44,null,null,0.4505,null,null,null,2.0643,0.192,4.5245,null
