"","x"
"1",407.321354094695
"2",579.107421535758
"3",542.523942593459
"4",166.039908914687
"5",347.37749941109
"6",332.451840556521
"7",645.527079568292
"8",528.589627472396
"9",504.291485625724
"10",341.009336111289
"11",163.885263576902
"12",529.051774781647
"13",415.880949764461
"14",595.384763290292
"15",335.93014767413
"16",402.758683906571
"17",479.744092687482
"18",295.24552176712
"19",497.532750664153
"20",312.447911287683
"21",497.831577170631
"22",432.711532820107
"23",573.129542437601
"24",483.565799844788
"25",193.301043485212
"26",416.949676770702
"27",313.570354202568
"28",621.20595375846
"29",458.572084450094
"30",467.069461849017
"31",407.330212521098
