"","x"
"1",35.3123084903056
"2",43.0001306316933
"3",48.6729480875415
"4",44.3297447053604
"5",38.9347387488471
"6",47.2000872053077
"7",26.0915949522229
"8",37.8128846140666
"9",44.8765746235851
"10",53.5150140344457
"11",52.2231603460717
"12",55.477187347418
"13",53.4845419858903
"14",43.1153556187412
"15",37.6035720667895
"16",26.2374743442248
"17",36.2137913241526
"18",31.8127761516606
"19",52.8457729124916
"20",39.2160951837916
"21",47.5333098959142
"22",43.1044151274196
"23",38.9174675718308
"24",53.7247051217567
"25",34.8421851091835
"26",39.4699641342844
"27",49.426905327945
"28",43.050653062569
"29",41.9450330223617
"30",52.9747954465702
"31",22.1109557216074
"32",35.8710540210782
"33",51.9983923795198
"34",56.259776991842
"35",59.3952299898024
"36",50.8013534627982
"37",52.9861545625443
"38",36.5434125383803
"39",37.2977174250044
"40",24.79221985144
"41",35.4523406387823
"42",28.2443010597574
"43",48.6235025344504
"44",38.6972540575977
"45",52.9794106813649
"46",41.7864079382307
"47",40.6755770523364
"48",52.5710429560013
"49",36.0542296996765
"50",44.3093589437629
"51",53.8364007170975
"52",42.747835675672
"53",45.2119572999648
"54",50.2289111941774
"55",23.516258075937
"56",39.310040602744
"57",56.7794471507459
"58",53.6515576293533
"59",60.4795100160138
"60",54.3107934362931
"61",54.6646281114711
"62",36.3141895637507
"63",37.8761383812068
"64",22.9865244814374
"65",33.3527560855473
"66",33.7227463577294
"67",56.5956579872838
"68",36.8658015010152
"69",55.1584744279741
"70",42.4986580974852
"71",38.1447645468526
"72",56.8041175858657
"73",35.4865709774148
"74",42.4977917101512
"75",51.0919926826219
"76",43.2744910347886
"77",42.5033004230718
"78",50.2179461045151
"79",23.8043855998827
"80",37.86653381333
"81",52.0670619610952
"82",54.3960251856264
"83",57.8800550577836
"84",53.5798700809227
"85",53.8363065318421
"86",38.2564640623532
"87",37.6276423965723
"88",24.4234983016336
"89",34.7704365672375
"90",31.5539767633799
"91",53.1723367707485
"92",38.0623865367876
"93",52.4046096335638
"94",42.4519750456309
"95",39.1164604080483
"96",54.686602048047
"97",35.4792720477632
"98",42.2068940264314
"99",51.4561898527655
"100",43.0549227833435
"101",43.1616735479588
"102",50.9806676157304
"103",23.2515062725897
"104",37.7496568744048
"105",53.4610961594306
"106",54.6862165253955
"107",59.0768562261318
"108",53.0336295230055
"109",53.8504773399374
"110",37.2022031545009
"111",37.6112668928934
"112",24.0942125910972
"113",34.5332082306662
"114",31.2925367524601
"115",52.9457062501616
"116",37.87849347482
"117",53.3886622151282
"118",42.2826284543208
"119",39.254600899689
"120",54.7387379671756
"121",35.6398447073687
"122",42.8732835907481
"123",52.0026683777887
"124",43.0361641808995
"125",43.5290618687897
"126",50.5448885108655
"127",23.4902115667308
"128",38.2145409632464
"129",53.9572211213518
"130",54.3141882197143
"131",59.1044006096975
"132",53.5492340602568
"133",54.0705030973981
"134",37.2736882473688
"135",37.6891412351496
"136",23.8878091778286
"137",34.2791582215322
"138",32.0403776991943
"139",54.019113187333
"140",37.6546645588609
"141",53.5811378990438
"142",42.3929147217357
"143",38.9074538778582
"144",55.2920571805944
"145",35.5494766246283
"146",42.5700381457818
"147",51.5879492936643
"148",43.1074407720022
"149",43.1363379597902
"150",50.585488306501
"151",23.5051845472294
"152",37.9792856110058
"153",53.2877809487361
"154",54.4482798713937
"155",58.7588704937948
"156",53.4030759102246
"157",53.9400168841841
"158",37.5229802587001
"159",37.6488504771226
"160",24.0972632622469
"161",34.4906646662915
"162",31.6821578936744
"163",53.4640036778102
"164",37.8340922638374
"165",53.1993274841647
"166",42.3761161713139
"167",39.069116674965
"168",54.9593663088242
